baseMean,log2FoldChange,lfcSE,pvalue,padj
CDH22,1.05676571013751,2.07301159969375,0.958546268740305,0.0014015363443027,0.00273978053858815
CDHR4,2.33489378022954,2.33008163363403,0.592754906108227,2.68362294280615e-06,7.55459129211768e-06
CDHR5,116.39799290803,6.9833594265417,0.503030424015373,2.07923525506981e-45,1.18536794198343e-43
CDK5R1,131.271940238757,2.27148314506484,0.212946083994346,5.13773009264174e-28,9.03707371905537e-27
CDKN1A,897.760885847202,2.4248971462463,0.347408852415024,8.31602640957091e-14,4.82290826844962e-13
CDKN2D,709.169854244912,2.49245427011664,0.302797045649145,4.83729031116655e-18,3.94513929304817e-17
CEBPA,124.064239076701,3.10450420833398,0.319163979166097,3.31105202860589e-24,4.39918527334575e-23
CEBPB,2091.10668372741,5.78884743208989,0.286291165185467,9.39659436076742e-93,1.02452242889742e-89
CEBPD,776.525620174091,3.48678308703951,0.297401971761412,9.31689710334054e-34,2.48902404238554e-32
CELSR2,471.171600546896,2.05795272608094,0.196040667029226,4.51546676430923e-27,7.55247533110015e-26
CELSR3,6.78801853263459,2.79204207100344,0.502832297692618,4.77045584151728e-10,1.97814599846135e-09
CEMIP,32.4916471073295,5.73215091271467,0.814528054104536,1.42160877206879e-14,8.76633617134675e-14
CFB,61.2303149669192,3.15829176597657,0.555573570955296,1.45584145621304e-10,6.33029765793531e-10
CFTR,2.30858332398053,2.9617215417792,0.719577455375298,4.77790458591388e-07,1.45463430194184e-06
CHAC1,42.4475062565642,5.64106284661834,0.764034321730957,1.11114340229592e-15,7.56297177255258e-15
CHADL,3.41774187731157,2.16797245946589,0.602336116094636,1.35125220998317e-05,3.49482502641311e-05
CHERP,745.390378985832,2.83929246588316,0.221762447963917,3.07353772355284e-39,1.14323807222557e-37
CHI3L1,1309.05577609371,2.32908566466755,0.366108909842005,6.43230083241982e-12,3.15112294359909e-11
CHI3L2,17.900104786963,2.48623669502683,0.426941276962541,1.46995690220098e-10,6.38530830649805e-10
CHPF,226.62454365688,3.11287407860912,0.261783495524487,1.95478487110843e-34,5.4128923930931e-33
CHRDL1,3.31795917729474,2.65067156388029,0.692173739784766,2.420748808751e-06,6.85328837531015e-06
CHRM3,15.0211936014446,5.99101271435056,0.760778734954106,3.39630731808971e-17,2.59634448571757e-16
CHST11,857.660281289156,2.23356483282047,0.328722074512265,4.07804398404259e-13,2.22386612383942e-12
CHST15,1602.14783098961,2.38535983019711,0.205885828506032,1.47559709051711e-32,3.6307180880213e-31
CHSY1,652.939469814959,2.231144488304,0.317041782021677,7.38611146981639e-14,4.30794766268629e-13
CIART,14.2102773519792,2.62385149200081,0.39224615159308,4.87332914900112e-13,2.63234534163811e-12
CIC,1259.61723785616,2.68752761760342,0.211280381243479,1.02226426698468e-38,3.66942389661476e-37
CIPC,369.047992169065,2.09695408624518,0.250899511161654,3.04162934325489e-18,2.53638737538631e-17
CLCN7,1195.03586904494,2.36003118378759,0.183904404726955,3.3675536571828e-39,1.24200789745357e-37
CLDN4,0.918004471394555,2.08848706565499,0.769426913190005,0.000317587242119672,0.000682388156026318
CLEC1B,6.77597964292664,3.20734887367383,0.684595768492858,2.69482536331839e-08,9.3741233226499e-08
CLIP3,77.7411581710951,2.5137712279131,0.194646184967714,9.84006944379519e-40,3.75623657433276e-38
CLK2,320.710051678147,4.92207090044426,1.21904518287462,1.61925514384137e-07,5.18310201547023e-07
CLVS2,1.41046117332532,2.70161933608864,0.741460578222613,4.64691513885352e-06,1.27121584753489e-05
CMIP,2163.0337281487,3.20439134242556,0.154553121163454,2.49132217725224e-97,3.62175961518044e-94
CMPK2,293.972837318684,2.02411310564721,0.293500112181464,2.94461785800673e-13,1.63438939016632e-12
CNGA3,9.74250286701008,3.21374436699837,0.48508472714983,3.87524344000374e-13,2.12123068123204e-12
CNKSR3,12.936822630436,4.06756178191968,0.545583431289266,4.60644555242635e-16,3.23247959219943e-15
CNOT3,334.285077012953,2.23293876738528,0.135547493988835,2.13006450645833e-62,3.40908030414364e-60
CNR2,257.468200728848,3.29835618481228,0.282104018393989,1.69183162758959e-33,4.4248879675113e-32
CNTFR,0.985899551797701,2.51621452786716,0.859170906864358,7.58405884504649e-05,0.000178115113828535
COL12A1,5.83744528683886,3.75617008170409,0.808543791261601,1.86435553532144e-08,6.58507437005113e-08
